Context,Query,Response
Intro,Hello,hello I am Ishan from JMV motors we noticed you were looking for some cars on our website .Are you interested in purchasing a new car at this moment?
Interest Confirmation,"Yes, I am interested","I'd be happy to help. Do you have a specific features in mind, or are you open to suggestions?"
Interest Confirmation,"Yes, I'm interested in looking at some of your newer car models","I'd be happy to help. Do you have a specific features in mind, or are you open to suggestions?"
Brand model,I am looking for something fuel-efficient with advanced safety features.,"If you're looking for fuel efficiency, we have a few in stock. In addition to that, given your interest in safety, we have various options for that as well. Would you like to try them out?"
Safety Features,Tell me about safety features,"Our cars are equipped with multiple airbags, anti-lock braking systems (ABS), electronic brake distribution (EBD), hill-start assist, and a rearview camera as standard. Advanced models also feature adaptive cruise control, lane departure warning, and automatic emergency braking. Safety is our top priority. Would you like to book a test drive to get more idea about it?"
Safety features,Could you tell me more about its safety features?,"Our cars are equipped with multiple airbags, anti-lock braking systems (ABS), electronic brake distribution (EBD), hill-start assist, and a rearview camera as standard. Advanced models also feature adaptive cruise control, lane departure warning, and automatic emergency braking. Safety is our top priority. Would you like to book a test drive to get more idea about it?"
eco freindly,Are your cars eco-friendly?,"Absolutely! We have models with hybrid and electric options that are designed to reduce carbon emissions. Our engines are also built to meet the latest emission standards. If you're environmentally conscious, we can suggest some models that might suit your needs."
Fuel efficiency,I am looking for fuel efficient,"If you're looking for fuel efficiency, we have a few in stock. In addition to that, given your interest in safety, we have various options for that as well. Would you like to try them out?"
Test Drive,I'd like to book a demo for a test drive.,Great choice! We'd be happy to arrange a test drive for you. Please let me know your name and contact number and which day will be suitable for you.
Test Drive,I would  like to book a demo,Great choice! We'd be happy to arrange a test drive for you. Please let me know your name and contact number and which day will be suitable for you.
Test Drive,"yes, book a test drive for me.",Great choice! We'd be happy to arrange a test drive for you. Please let me know your name and contact number and which day will be suitable for you.
Test Drive,I  would like to book a test drive,Great choice! We'd be happy to arrange a test drive for you. Please let me know your name and contact number and which day will be suitable for you.
End the Conversation,Saturday,"Okay, , I have booked a test drive for you on Saturday. Reach out to us if you have any questions. Have a great day!"
End the Conversation,How about this Saturday around 3 pm. My name is John smith and my contact no is 9898989898,"Thank you, I have noted your details and booked a test drive for you on Saturday. Reach out to us if you have any questions. Have a great day!"
End the Conversation,How about this Saturday around 3 PM? My name is John smith and my contact no is 9898989898,"Thank you, I have noted your details and booked a test drive for you on Saturday. Reach out to us if you have any questions. Have a great day!"
End the Conversation,Saturday would be perfect.My name is John smith and my contact no is 9898989898,"Thank you, I have noted your details and booked a test drive for you on Saturday. Reach out to us if you have any questions. Have a great day!"
End the Conversation,My name is John smith and my contact no is 9898989898. Saturday will be good.,"Thank you, I have noted your details and booked a test drive for you on Saturday. Reach out to us if you have any questions. Have a great day!"
End the Conversation,My name is John smith and my contact no is 9898989898. Saturday will be good.,"Sure, We'd be happy to arrange a test drive for you this Saturday. Please let me know the time that works best for you."
End the Conversation,My name is John smith.,"Thank you, I have noted your details and booked a test drive for you on Saturday. Reach out to us if you have any questions. Have a great day!"
End the Conversation,"Okay, thank you",Have a great day!
